,identifier,response_id,sentence_number,token_number,token,lemma,pos
0,Q17_R_2wjiSHblELDyZMY_0_0,R_2wjiSHblELDyZMY,0,0,jeugdliteratuur,jeugdliteratuur,NOUN
1,Q17_R_2wjiSHblELDyZMY_0_1,R_2wjiSHblELDyZMY,0,1,is,zijn,AUX
2,Q17_R_2wjiSHblELDyZMY_0_2,R_2wjiSHblELDyZMY,0,2,ook,ook,ADV
3,Q17_R_2wjiSHblELDyZMY_0_3,R_2wjiSHblELDyZMY,0,3,literatuur,literatuur,NOUN
4,Q17_R_2wjiSHblELDyZMY_0_4,R_2wjiSHblELDyZMY,0,4,alles,alles,PRON
5,Q17_R_2wjiSHblELDyZMY_0_5,R_2wjiSHblELDyZMY,0,5,begint,beginnen,VERB
6,Q17_R_2wjiSHblELDyZMY_0_6,R_2wjiSHblELDyZMY,0,6,daar,daar,ADV
7,Q17_R_25AYySSQF2YfL2D_0_0,R_25AYySSQF2YfL2D,0,0,Kijk,kijken,VERB
8,Q17_R_25AYySSQF2YfL2D_0_1,R_25AYySSQF2YfL2D,0,1,liever,liever,ADV
9,Q17_R_25AYySSQF2YfL2D_0_2,R_25AYySSQF2YfL2D,0,2,naar,naar,ADP
10,Q17_R_25AYySSQF2YfL2D_0_3,R_25AYySSQF2YfL2D,0,3,de,de,DET
11,Q17_R_25AYySSQF2YfL2D_0_4,R_25AYySSQF2YfL2D,0,4,kwaliteit,kwaliteit,NOUN
12,Q17_R_25AYySSQF2YfL2D_0_5,R_25AYySSQF2YfL2D,0,5,van,van,ADP
13,Q17_R_25AYySSQF2YfL2D_0_6,R_25AYySSQF2YfL2D,0,6,de,de,DET
14,Q17_R_25AYySSQF2YfL2D_0_7,R_25AYySSQF2YfL2D,0,7,tekst,tekst,NOUN
15,Q17_R_25AYySSQF2YfL2D_0_8,R_25AYySSQF2YfL2D,0,8,dan,dan,SCONJ
16,Q17_R_25AYySSQF2YfL2D_0_9,R_25AYySSQF2YfL2D,0,9,naar,naar,ADP
17,Q17_R_25AYySSQF2YfL2D_0_10,R_25AYySSQF2YfL2D,0,10,de,de,DET
18,Q17_R_25AYySSQF2YfL2D_0_11,R_25AYySSQF2YfL2D,0,11,zogenaamde,zogenaamd,ADJ
19,Q17_R_25AYySSQF2YfL2D_0_12,R_25AYySSQF2YfL2D,0,12,doelgroep,doelgroep,NOUN
20,Q17_R_25AYySSQF2YfL2D_0_13,R_25AYySSQF2YfL2D,0,13,of,of,CCONJ
21,Q17_R_25AYySSQF2YfL2D_0_14,R_25AYySSQF2YfL2D,0,14,andere,ander,ADJ
22,Q17_R_25AYySSQF2YfL2D_0_15,R_25AYySSQF2YfL2D,0,15,beperkende,beperken,VERB
23,Q17_R_25AYySSQF2YfL2D_0_16,R_25AYySSQF2YfL2D,0,16,indelingen,indeling,NOUN
24,Q17_R_25AYySSQF2YfL2D_0_17,R_25AYySSQF2YfL2D,0,17,.,.,PUNCT
25,Q17_R_WCgHrYOqu4y0lJD_0_0,R_WCgHrYOqu4y0lJD,0,0,dat,dat,PRON
26,Q17_R_WCgHrYOqu4y0lJD_0_1,R_WCgHrYOqu4y0lJD,0,1,hangt,afhangen,VERB
